Algorithm,K,Silhouette,Calinski-Harabasz,Davies-Bouldin,Smallest Cluster %,Matrix Variant
K-Means,3,0.10491023678859918,6113.3522530786995,3.8376521980822336,5.504244798955126,pruned
Hierarchical(sample),3,0.0879863971038245,423.11700963307504,4.222644444353211,9.51,pruned
DBSCAN(sample),0,,,,,pruned
