segment,metric,split_a_mean,split_b_mean,relative_gap_pct
Champions,freq_score,0.1136829877230463,0.1138056843276748,0.10792872978268679
Champions,loyalty_score,0.6532051107176133,0.6532392326494093,0.005223769875052771
Champions,avg_basket_size,10.038928844721422,10.05213104914327,0.1315100906287419
Champions,unique_products,103.2068448011484,102.94394443357464,0.25473152297243584
Frequent Explorers,freq_score,0.09939968870089415,0.09887095735126679,0.53192455282066
Frequent Explorers,loyalty_score,0.3167359448752063,0.31628621643999416,0.1419884425777186
Frequent Explorers,avg_basket_size,8.178893081601876,8.216848394324357,0.46406417523491156
Frequent Explorers,unique_products,64.6297554800453,64.92230493154327,0.45265443033942415
Loyal Occasionals,freq_score,0.050957178332238805,0.050903130857277434,0.10606449715285045
Loyal Occasionals,loyalty_score,0.5825556429043688,0.582474725169435,0.01389012979607812
Loyal Occasionals,avg_basket_size,9.490422799901589,9.583355971213185,0.9792310971915821
Loyal Occasionals,unique_products,51.99015603026853,52.834629306877595,1.6242945609115218
At Risk,freq_score,0.04739673851963823,0.04746720537188008,0.14867447517017365
At Risk,loyalty_score,0.28453953482548006,0.28528486828083693,0.2619437245562456
At Risk,avg_basket_size,8.293755141216481,8.2971786976158,0.041278725270120414
At Risk,unique_products,48.18048154726663,47.869958820837965,0.6444990096747631
